# Omh2 Och2 w0 n_s ln10As H0 N_eff
2.26832e-02 1.14060e-01 -8.16597e-01 9.75589e-01 3.09292e+00 6.33657e+01 2.91875e+00
2.24507e-02 1.17258e-01 -1.13444e+00 9.76523e-01 3.14987e+00 7.30997e+01 3.17375e+00
2.29982e-02 1.08749e-01 -6.84659e-01 9.97450e-01 3.09377e+00 6.37085e+01 3.25875e+00
2.26759e-02 1.12306e-01 -7.43738e-01 9.48081e-01 3.00090e+00 6.40419e+01 3.55625e+00
2.20846e-02 1.06252e-01 -7.66605e-01 9.65093e-01 3.11856e+00 6.50491e+01 2.66375e+00
2.06646e-02 1.29503e-01 -1.32636e+00 9.27846e-01 3.02365e+00 7.27542e+01 2.96125e+00
2.29415e-02 1.11503e-01 -7.10308e-01 9.70642e-01 3.01597e+00 6.26987e+01 2.70625e+00
2.28137e-02 1.19597e-01 -8.66603e-01 9.66298e-01 3.16214e+00 6.43716e+01 3.93875e+00
2.06769e-02 1.23835e-01 -1.16373e+00 9.49131e-01 3.14713e+00 6.94000e+01 3.59875e+00
2.13439e-02 1.15813e-01 -8.30933e-01 9.47523e-01 3.07177e+00 6.23564e+01 3.89625e+00
2.18933e-02 1.28951e-01 -1.24115e+00 9.61017e-01 3.05046e+00 7.20860e+01 4.23625e+00
2.26212e-02 1.08951e-01 -8.60928e-01 9.96032e-01 3.15811e+00 6.77340e+01 2.83375e+00
2.25060e-02 1.16766e-01 -8.79472e-01 9.53951e-01 3.04801e+00 6.53799e+01 2.87625e+00
2.18955e-02 1.17176e-01 -1.11950e+00 9.78815e-01 3.06781e+00 7.10834e+01 3.00375e+00
2.26491e-02 1.27108e-01 -1.11683e+00 9.72365e-01 3.09389e+00 6.87300e+01 2.74875e+00
2.14676e-02 1.28502e-01 -1.30291e+00 9.33567e-01 3.09430e+00 7.41000e+01 3.72625e+00
2.17741e-02 1.20676e-01 -1.13130e+00 9.66216e-01 3.01408e+00 7.00743e+01 3.76875e+00
2.22812e-02 1.19424e-01 -1.24807e+00 9.51972e-01 3.03502e+00 7.44391e+01 3.21625e+00
2.28741e-02 1.15740e-01 -1.03218e+00 9.53310e-01 3.02020e+00 7.07516e+01 4.27875e+00
2.23826e-02 1.13263e-01 -1.09161e+00 9.67291e-01 3.09569e+00 7.24296e+01 3.68375e+00
2.22537e-02 1.22488e-01 -9.89837e-01 9.52888e-01 3.11987e+00 6.70552e+01 3.38625e+00
2.36151e-02 1.17169e-01 -8.65832e-01 9.75785e-01 3.13158e+00 6.63890e+01 3.85375e+00
2.15385e-02 1.21009e-01 -1.03161e+00 9.58557e-01 3.07232e+00 6.80619e+01 2.62125e+00
2.27263e-02 1.01218e-01 -5.65849e-01 9.74575e-01 3.01920e+00 6.20335e+01 3.47125e+00
2.24536e-02 1.10277e-01 -7.61456e-01 9.58918e-01 3.14394e+00 6.30321e+01 4.15125e+00
2.09291e-02 1.17057e-01 -9.47878e-01 9.34464e-01 3.03679e+00 6.57127e+01 3.08875e+00
2.23621e-02 1.19181e-01 -1.12510e+00 9.44260e-01 3.12789e+00 7.17554e+01 2.79125e+00
2.13580e-02 1.13425e-01 -9.64588e-01 9.66388e-01 3.01471e+00 6.73930e+01 4.02375e+00
2.17472e-02 1.31777e-01 -1.39992e+00 9.58570e-01 3.14656e+00 7.47675e+01 3.81125e+00
2.23248e-02 1.28915e-01 -1.23607e+00 9.40146e-01 3.15905e+00 7.14136e+01 3.42875e+00
2.19279e-02 1.23914e-01 -1.22368e+00 9.55236e-01 3.11828e+00 7.34315e+01 4.06625e+00
2.12396e-02 1.27579e-01 -1.38165e+00 9.56072e-01 3.07641e+00 7.37600e+01 3.34375e+00
2.24969e-02 1.12845e-01 -9.25758e-01 9.49484e-01 3.04281e+00 6.84034e+01 3.98125e+00
2.33732e-02 1.14970e-01 -8.75221e-01 9.89173e-01 3.14916e+00 6.60523e+01 3.64125e+00
2.27557e-02 1.22229e-01 -1.03229e+00 9.50028e-01 3.10694e+00 6.90704e+01 3.13125e+00
2.34108e-02 1.07641e-01 -6.12820e-01 9.95568e-01 3.14029e+00 6.16947e+01 3.04625e+00
2.19989e-02 1.21297e-01 -1.10822e+00 9.67361e-01 3.17942e+00 7.04113e+01 3.30125e+00
2.28745e-02 1.09744e-01 -8.48746e-01 9.77623e-01 3.07229e+00 6.67262e+01 3.51375e+00
2.37124e-02 1.14975e-01 -9.55008e-01 9.76591e-01 3.05351e+00 6.97468e+01 4.10875e+00
2.17407e-02 1.20070e-01 -9.41053e-01 9.60207e-01 3.09270e+00 6.47043e+01 4.19375e+00
