# B0_r c0_r A1_r B1_r
1.53569e+00 -7.69880e-01 -1.21443e+00 5.64811e-01
1.02518e+00 -1.97800e-01 -1.12673e+00 4.62758e-01
1.62925e+00 -1.27379e+00 -1.29403e+00 5.93569e-01
1.48643e+00 -1.07403e+00 -1.26647e+00 5.79557e-01
1.71782e+00 -9.46910e-01 -1.25147e+00 5.89327e-01
5.39183e-01 1.45163e-01 -1.09296e+00 4.59927e-01
1.70937e+00 -9.38854e-01 -1.26382e+00 6.12332e-01
1.55739e+00 -3.65960e-01 -1.19343e+00 5.62655e-01
9.11823e-01 -2.73840e-01 -1.12489e+00 4.57110e-01
1.62440e+00 -5.53650e-01 -1.20830e+00 5.57964e-01
1.05804e+00 1.09637e-01 -1.11144e+00 4.56161e-01
1.18573e+00 -7.46291e-01 -1.20463e+00 5.42484e-01
1.56868e+00 -5.09616e-01 -1.18699e+00 5.60935e-01
1.39538e+00 -1.27778e-01 -1.12628e+00 4.80783e-01
5.46986e-01 -1.44457e-01 -1.12351e+00 5.02085e-01
1.24460e+00 1.44730e-01 -1.09548e+00 4.44667e-01
1.21533e+00 7.39996e-02 -1.13234e+00 4.85584e-01
1.24401e+00 1.96668e-01 -1.10642e+00 4.55830e-01
1.68312e+00 -1.95290e-02 -1.14712e+00 5.39654e-01
1.68786e+00 3.57971e-02 -1.13035e+00 5.11765e-01
1.35057e+00 -4.56066e-01 -1.16036e+00 5.07582e-01
1.45913e+00 -5.81527e-01 -1.20535e+00 5.52652e-01
8.41744e-01 -4.01710e-01 -1.14857e+00 5.04093e-01
2.28734e+00 -1.83545e+00 -1.40619e+00 6.68266e-01
1.88531e+00 -7.97369e-01 -1.24346e+00 5.97740e-01
1.21792e+00 -3.36680e-01 -1.17672e+00 5.25154e-01
8.75690e-01 -2.39663e-01 -1.12525e+00 4.63334e-01
1.36960e+00 -2.19727e-01 -1.17194e+00 5.27138e-01
1.93607e-01 2.08893e-01 -1.07236e+00 4.72935e-01
7.23714e-01 -5.66228e-02 -1.10976e+00 4.63273e-01
1.25358e+00 1.81253e-01 -1.11086e+00 4.67813e-01
8.38908e-01 1.62207e-01 -1.08535e+00 4.29810e-01
1.79094e+00 -3.26234e-01 -1.17974e+00 5.62632e-01
1.41064e+00 -5.12976e-01 -1.19556e+00 5.59645e-01
1.04787e+00 -3.11326e-01 -1.15220e+00 4.90927e-01
2.01337e+00 -1.42747e+00 -1.33074e+00 6.55488e-01
8.09829e-01 -2.24909e-01 -1.12982e+00 4.80391e-01
1.20641e+00 -6.87971e-01 -1.21411e+00 5.47723e-01
1.53062e+00 -1.83976e-01 -1.17564e+00 5.40215e-01
1.64557e+00 -4.34293e-01 -1.17035e+00 5.46572e-01
