# B0_r c0_r A1_r B1_r
7.22930e-03 4.39722e-03 2.81818e-06 4.74412e-05
6.99877e-03 2.69795e-03 7.42337e-07 2.39677e-05
1.10443e-02 7.11122e-03 4.65542e-06 1.12801e-04
1.06216e-02 1.02302e-02 4.31172e-06 1.03383e-04
7.24683e-03 5.24066e-03 4.31665e-06 6.43917e-05
1.06784e-02 2.34987e-03 5.08690e-06 6.98768e-05
8.54694e-03 6.64262e-03 5.57295e-06 8.14472e-05
6.86848e-03 4.78730e-03 3.72477e-06 5.69853e-05
7.24118e-03 2.48583e-03 8.77754e-07 2.31016e-05
8.77297e-03 6.92596e-03 6.01501e-06 9.17487e-05
6.27794e-03 3.36004e-03 9.26898e-07 2.86192e-05
7.88265e-03 3.20692e-03 8.60393e-07 2.75182e-05
6.45664e-03 4.41144e-03 3.48456e-06 5.00461e-05
5.16963e-03 3.03010e-03 1.88609e-06 2.83136e-05
6.27674e-03 2.75400e-03 3.41576e-06 5.52287e-05
4.76999e-03 2.79074e-03 1.30704e-06 2.45841e-05
6.25622e-03 4.28272e-03 1.61100e-06 3.75563e-05
4.86567e-03 3.59014e-03 1.30515e-06 2.83193e-05
7.93602e-03 8.20381e-03 8.56658e-06 1.12397e-04
5.47263e-03 4.62295e-03 5.10187e-06 6.12737e-05
6.39258e-03 3.34604e-03 1.60622e-06 3.16773e-05
7.28083e-03 5.23552e-03 2.64198e-06 5.18353e-05
1.14682e-02 2.89903e-03 2.18067e-06 3.56099e-05
2.89611e-02 2.55266e-02 5.05678e-05 5.13587e-04
1.15307e-02 9.48345e-03 1.29089e-05 1.54464e-04
6.93994e-03 4.59213e-03 1.46837e-06 3.85683e-05
8.63687e-03 2.62847e-03 1.12103e-06 2.78236e-05
7.77637e-03 7.87936e-03 3.47484e-06 7.01753e-05
7.42029e-03 2.23942e-03 1.12076e-05 1.37364e-04
7.56381e-03 2.24989e-03 1.71963e-06 3.86059e-05
4.91035e-03 3.16571e-03 1.49250e-06 3.04492e-05
7.34602e-03 2.08953e-03 8.32388e-07 2.69424e-05
9.01434e-03 9.16022e-03 1.04109e-05 1.33636e-04
6.64380e-03 4.32074e-03 2.23461e-06 4.61122e-05
6.86723e-03 2.77957e-03 7.85587e-07 2.64958e-05
1.19653e-02 7.74551e-03 1.07802e-05 1.30799e-04
8.85545e-03 2.50722e-03 1.62889e-06 3.42051e-05
9.61551e-03 6.26229e-03 1.51812e-06 4.70177e-05
6.91408e-03 6.85252e-03 4.84129e-06 7.64110e-05
6.46323e-03 5.00426e-03 4.99086e-06 6.97103e-05
